respondent_id,survey_date,age,location,customer_tenure,membership_tier,purchase_frequency,avg_order_value,categories_purchased,channel_preference,nps_score,checkout_satisfaction,search_satisfaction,returns_satisfaction,improvement_suggestion,favorite_feature
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,2025-10-03,34,CO,6,Gold,12,287,camping|hiking|apparel,desktop,9,5,4,5,,gear reviews
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,2025-10-05,28,CA,2,Bronze,5,142,hiking|apparel|footwear,mobile,7,3,4,4,mobile app crashes sometimes,easy returns
c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,2025-10-07,45,WA,8,Platinum,18,412,camping|climbing|water-sports|apparel,desktop,10,5,5,5,,price matching
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,2025-10-08,22,OR,1,None,3,89,hiking|apparel,mobile,6,2,3,4,faster checkout on mobile,trail finder
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,2025-10-10,52,UT,9,Platinum,15,356,camping|hiking|climbing,app,9,4,5,5,,expert advice chat
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,2025-10-11,31,CO,4,Silver,8,198,water-sports|apparel|footwear,desktop,8,4,4,4,more eco-friendly products,gear reviews
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,2025-10-12,26,CA,1,Bronze,4,121,hiking|footwear,mobile,5,2,3,3,better size guides,easy returns
b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,2025-10-14,39,WA,5,Gold,10,245,camping|hiking|apparel,desktop,8,5,4,4,,trail finder
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,2025-10-15,67,MT,10,Platinum,14,389,camping|hiking,in-store,10,5,4,5,,in-store pickup
d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,2025-10-16,24,TX,0,None,2,76,apparel|footwear,mobile,4,2,3,3,wish the app was faster,price alerts
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,2025-10-17,41,CO,7,Gold,11,267,camping|climbing|apparel,app,9,4,5,4,,gear comparison tool
f2a3b4c5-d6e7-4f8a-9b0c-1d2e3f4a5b6c,2025-10-18,33,AZ,3,Silver,6,156,hiking|water-sports|footwear,desktop,7,4,4,4,faster shipping options,easy returns
a3b4c5d6-e7f8-4a9b-0c1d-2e3f4a5b6c7d,2025-10-19,29,CA,2,Bronze,5,134,hiking|apparel,mobile,6,3,3,4,mobile checkout is clunky,trail finder
b4c5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,2025-10-20,55,WA,9,Platinum,16,398,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,2025-10-21,47,OR,6,Gold,9,234,camping|hiking,in-store,8,5,4,5,,in-store experts
d6e7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,2025-10-22,21,CO,0,None,2,68,apparel|footwear,mobile,5,2,3,3,more sustainable brands please,sustainability info
e7f8a9b0-c1d2-4e3f-4a5b-6c7d8e9f0a1b,2025-10-23,36,UT,4,Silver,7,189,climbing|apparel|footwear,desktop,8,4,4,4,,gear reviews
f8a9b0c1-d2e3-4f4a-5b6c-7d8e9f0a1b2c,2025-10-24,62,ID,8,Gold,12,312,camping|hiking,app,9,4,4,5,,loyalty rewards
a9b0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d,2025-10-25,27,CA,1,Bronze,3,98,hiking|water-sports,mobile,6,2,4,3,app crashes on checkout,trail finder
b0c1d2e3-f4a5-4b6c-7d8e-9f0a1b2c3d4e,2025-10-27,44,CO,7,Platinum,14,345,camping|hiking|climbing|apparel,desktop,9,5,5,5,,price matching
c1d2e3f4-a5b6-4c7d-8e9f-0a1b2c3d4e5f,2025-10-28,38,WA,5,Gold,9,223,camping|water-sports|apparel,desktop,8,4,4,4,would love carbon footprint info,gear reviews
d2e3f4a5-b6c7-4d8e-9f0a-1b2c3d4e5f6a,2025-10-29,23,OR,1,None,3,87,hiking|apparel,mobile,5,2,3,4,mobile site needs work,easy returns
e3f4a5b6-c7d8-4e9f-0a1b-2c3d4e5f6a7b,2025-10-30,51,NV,6,Gold,10,256,camping|hiking|footwear,in-store,9,5,4,5,,in-store pickup
f4a5b6c7-d8e9-4f0a-1b2c-3d4e5f6a7b8c,2025-10-31,30,CA,3,Silver,6,167,hiking|climbing|apparel,app,7,4,4,4,,trail finder
a5b6c7d8-e9f0-4a1b-2c3d-4e5f6a7b8c9d,2025-11-01,42,CO,8,Platinum,15,378,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
b6c7d8e9-f0a1-4b2c-3d4e-5f6a7b8c9d0e,2025-11-02,25,TX,1,Bronze,4,112,apparel|footwear,mobile,6,3,3,3,better mobile experience,price alerts
c7d8e9f0-a1b2-4c3d-4e5f-6a7b8c9d0e1f,2025-11-03,58,WA,9,Platinum,13,367,camping|hiking|water-sports,desktop,9,5,4,5,,gear comparison tool
d8e9f0a1-b2c3-4d4e-5f6a-7b8c9d0e1f2a,2025-11-04,35,UT,4,Silver,7,178,climbing|apparel|footwear,desktop,8,4,4,4,,gear reviews
e9f0a1b2-c3d4-4e5f-6a7b-8c9d0e1f2a3b,2025-11-05,19,CA,0,None,2,72,apparel|footwear,mobile,4,2,3,3,want more eco product filters,sustainability info
f0a1b2c3-d4e5-4f6a-7b8c-9d0e1f2a3b4c,2025-11-06,48,CO,7,Gold,11,289,camping|hiking|climbing,app,9,4,5,4,,loyalty rewards
a1b2c3d4-f5e6-4a7b-8c9d-1e2f3a4b5c6d,2025-11-07,32,OR,3,Silver,6,154,hiking|water-sports|apparel,desktop,7,4,4,4,wish returns were free,easy returns
b2c3d4e5-a6f7-4b8c-9d0e-2f3a4b5c6d7e,2025-11-08,64,MT,10,Platinum,17,423,camping|hiking|climbing,in-store,10,5,5,5,,in-store experts
c3d4e5f6-b7a8-4c9d-0e1f-3a4b5c6d7e8f,2025-11-09,28,CA,2,Bronze,4,128,hiking|apparel,mobile,6,2,3,4,checkout times out on mobile,trail finder
d4e5f6a7-c8b9-4d0e-1f2a-4b5c6d7e8f9a,2025-11-10,46,WA,6,Gold,10,267,camping|hiking|water-sports,desktop,9,5,4,4,,price matching
e5f6a7b8-d9c0-4e1f-2a3b-5c6d7e8f9a0b,2025-11-11,37,CO,5,Gold,8,213,camping|climbing|apparel,app,8,4,4,4,,gear reviews
f6a7b8c9-e0d1-4f2a-3b4c-6d7e8f9a0b1c,2025-11-12,24,AZ,1,None,3,94,hiking|footwear,mobile,5,2,3,3,app is slow,price alerts
a7b8c9d0-f1e2-4a3b-4c5d-7e8f9a0b1c2d,2025-11-13,53,UT,8,Platinum,14,356,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
b8c9d0e1-a2f3-4b4c-5d6e-8f9a0b1c2d3e,2025-11-14,40,CO,6,Gold,9,234,camping|hiking|apparel,desktop,8,4,4,5,,gear comparison tool
c9d0e1f2-b3a4-4c5d-6e7f-9a0b1c2d3e4f,2025-11-15,22,CA,0,None,2,79,apparel|footwear,mobile,5,2,3,3,more recycled material options,sustainability info
d0e1f2a3-c4b5-4d6e-7f8a-0b1c2d3e4f5a,2025-11-16,49,WA,7,Platinum,12,298,camping|hiking|water-sports,app,9,4,4,5,,loyalty rewards
e1f2a3b4-d5c6-4e7f-8a9b-1c2d3e4f5a6b,2025-11-17,34,OR,4,Silver,7,187,hiking|climbing|apparel,desktop,8,4,4,4,,trail finder
f2a3b4c5-e6d7-4f8a-9b0c-2d3e4f5a6b7c,2025-11-18,26,TX,1,Bronze,4,118,hiking|apparel|footwear,mobile,6,3,3,4,faster mobile checkout please,easy returns
a3b4c5d6-f7e8-4a9b-0c1d-3e4f5a6b7c8d,2025-11-19,61,ID,9,Platinum,15,387,camping|hiking|climbing,in-store,10,5,5,5,,in-store pickup
b4c5d6e7-a8f9-4b0c-1d2e-4f5a6b7c8d9e,2025-11-20,31,CO,3,Silver,6,162,camping|hiking|apparel,desktop,7,4,4,4,better size recommendations,gear reviews
c5d6e7f8-b9a0-4c1d-2e3f-5a6b7c8d9e0f,2025-11-21,43,CA,6,Gold,10,245,camping|hiking|water-sports|apparel,app,9,4,5,4,,price matching
d6e7f8a9-c0b1-4d2e-3f4a-6b7c8d9e0f1a,2025-11-22,20,WA,0,None,2,67,apparel|footwear,mobile,4,2,3,3,wish there were more vegan options,sustainability info
e7f8a9b0-d1c2-4e3f-4a5b-7c8d9e0f1a2b,2025-11-23,56,UT,8,Platinum,13,334,camping|hiking|climbing,desktop,9,5,4,5,,expert advice chat
f8a9b0c1-e2d3-4f4a-5b6c-8d9e0f1a2b3c,2025-11-24,38,CO,5,Gold,9,223,camping|climbing|apparel|footwear,desktop,8,4,4,4,,gear reviews
a9b0c1d2-f3e4-4a5b-6c7d-9e0f1a2b3c4d,2025-11-25,29,OR,2,Bronze,5,137,hiking|water-sports,mobile,6,2,4,4,mobile payment options limited,trail finder
b0c1d2e3-a4f5-4b6c-7d8e-0f1a2b3c4d5e,2025-11-26,66,NV,10,Platinum,16,412,camping|hiking|water-sports,in-store,10,5,5,5,,in-store experts
c1d2e3f4-b5a6-4c7d-8e9f-1a2b3c4d5e6f,2025-11-27,33,CA,3,Silver,6,156,hiking|climbing|apparel,desktop,7,4,4,4,,gear comparison tool
d2e3f4a5-c6b7-4d8e-9f0a-2b3c4d5e6f7a,2025-11-28,45,WA,7,Gold,11,278,camping|hiking|climbing|apparel,app,9,4,5,5,,loyalty rewards
e3f4a5b6-d7c8-4e9f-0a1b-3c4d5e6f7a8b,2025-11-29,23,CO,1,None,3,86,hiking|apparel,mobile,5,2,3,3,checkout keeps freezing,easy returns
f4a5b6c7-e8d9-4f0a-1b2c-4d5e6f7a8b9c,2025-11-30,50,MT,6,Gold,10,256,camping|hiking|footwear,desktop,8,5,4,4,,price matching
a5b6c7d8-f9e0-4a1b-2c3d-5e6f7a8b9c0d,2025-12-01,35,UT,4,Silver,7,189,camping|climbing|water-sports,desktop,8,4,4,4,more rental gear options,gear reviews
b6c7d8e9-a0f1-4b2c-3d4e-6f7a8b9c0d1e,2025-12-02,27,CA,1,Bronze,4,123,hiking|apparel|footwear,mobile,6,3,3,4,better mobile filters,trail finder
c7d8e9f0-b1a2-4c3d-4e5f-7a8b9c0d1e2f,2025-12-03,59,CO,9,Platinum,15,389,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
d8e9f0a1-c2b3-4d4e-5f6a-8b9c0d1e2f3a,2025-12-04,41,WA,5,Gold,8,212,camping|hiking|apparel,app,8,4,4,4,,gear comparison tool
e9f0a1b2-d3c4-4e5f-6a7b-9c0d1e2f3a4b,2025-12-05,21,OR,0,None,2,74,apparel|footwear,mobile,5,2,3,3,need better sustainability scores,sustainability info
f0a1b2c3-e4d5-4f6a-7b8c-0d1e2f3a4b5c,2025-12-06,54,ID,8,Platinum,14,367,camping|hiking|climbing,in-store,9,5,4,5,,in-store pickup
a1b2c3d4-a5b6-4c7d-8e9f-1e2f3a4b5c6d,2025-12-07,36,CO,4,Silver,7,178,hiking|climbing|apparel|footwear,desktop,8,4,4,4,,price alerts
b2c3d4e5-b6c7-4d8e-9f0a-2f3a4b5c6d7e,2025-12-08,30,CA,3,Silver,6,163,hiking|water-sports|apparel,mobile,6,3,4,4,mobile site hard to navigate,easy returns
c3d4e5f6-c7d8-4e9f-0a1b-3a4b5c6d7e8f,2025-12-09,47,WA,7,Gold,11,289,camping|hiking|water-sports,desktop,9,5,4,5,,loyalty rewards
d4e5f6a7-d8e9-4f0a-1b2c-4b5c6d7e8f9a,2025-12-10,25,UT,1,Bronze,4,117,climbing|apparel,mobile,6,2,3,4,checkout loading too slow,trail finder
e5f6a7b8-e9f0-4a1b-2c3d-5c6d7e8f9a0b,2025-12-11,63,MT,10,Platinum,16,401,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
f6a7b8c9-f0a1-4b2c-3d4e-6d7e8f9a0b1c,2025-12-12,39,CO,5,Gold,9,234,camping|hiking|apparel,app,8,4,5,4,,gear reviews
a7b8c9d0-a1b2-4c3d-4e5f-7e8f9a0b1c2d,2025-12-13,28,AZ,2,Bronze,5,142,hiking|apparel|footwear,mobile,7,3,3,4,would love express checkout,price alerts
b8c9d0e1-b2c3-4d4e-5f6a-8f9a0b1c2d3e,2025-12-14,52,WA,8,Platinum,13,356,camping|hiking|climbing,in-store,9,5,5,5,,in-store experts
c9d0e1f2-c3d4-4e5f-6a7b-9a0b1c2d3e4f,2025-12-15,34,OR,4,Silver,7,187,camping|hiking|water-sports,desktop,8,4,4,4,,gear comparison tool
d0e1f2a3-d4e5-4f6a-7b8c-0b1c2d3e4f5a,2025-12-16,19,CA,0,None,2,69,apparel|footwear,mobile,4,2,3,3,want carbon neutral shipping,sustainability info
e1f2a3b4-e5f6-4a7b-8c9d-1c2d3e4f5a6b,2025-12-17,46,CO,6,Gold,10,267,camping|hiking|climbing|apparel,desktop,9,4,4,5,,price matching
f2a3b4c5-f6a7-4b8c-9d0e-2d3e4f5a6b7c,2025-12-18,32,UT,3,Silver,6,156,climbing|apparel|footwear,app,7,4,4,4,,easy returns
a3b4c5d6-a7b8-4c9d-0e1f-3e4f5a6b7c8d,2025-12-19,57,WA,9,Platinum,14,378,camping|hiking|water-sports,desktop,10,5,5,5,,loyalty rewards
b4c5d6e7-b8c9-4d0e-1f2a-4f5a6b7c8d9e,2025-12-20,26,TX,1,None,3,93,hiking|apparel,mobile,5,2,3,3,mobile app needs redesign,trail finder
c5d6e7f8-c9d0-4e1f-2a3b-5a6b7c8d9e0f,2025-12-21,44,CO,7,Gold,11,289,camping|hiking|climbing,desktop,9,5,4,4,,gear reviews
d6e7f8a9-d0e1-4f2a-3b4c-6b7c8d9e0f1a,2025-12-22,37,CA,4,Silver,8,198,hiking|water-sports|apparel|footwear,mobile,7,3,4,4,improve mobile search,gear comparison tool
e7f8a9b0-e1f2-4a3b-4c5d-7c8d9e0f1a2b,2025-12-23,68,OR,10,Platinum,15,387,camping|hiking,in-store,10,5,4,5,,in-store pickup
f8a9b0c1-f2a3-4b4c-5d6e-8d9e0f1a2b3c,2025-12-24,29,WA,2,Bronze,5,134,hiking|climbing|apparel,desktop,7,4,4,4,,price alerts
a9b0c1d2-a3b4-4c5d-6e7f-9e0f1a2b3c4d,2025-12-25,42,CO,6,Gold,10,256,camping|hiking|apparel,app,8,4,5,4,,easy returns
b0c1d2e3-b4c5-4d6e-7f8a-0f1a2b3c4d5e,2025-12-26,23,UT,1,None,3,87,climbing|apparel|footwear,mobile,5,2,3,3,checkout errors on mobile,sustainability info
c1d2e3f4-c5d6-4e7f-8a9b-1a2b3c4d5e6f,2025-12-27,55,MT,8,Platinum,14,367,camping|hiking|climbing|water-sports,desktop,9,5,5,5,,expert advice chat
d2e3f4a5-d6e7-4f8a-9b0c-2b3c4d5e6f7a,2025-12-28,33,CA,3,Silver,6,163,hiking|apparel|footwear,desktop,7,4,4,4,wish filters worked better,gear reviews
e3f4a5b6-e7f8-4a9b-0c1d-3c4d5e6f7a8b,2025-12-29,48,WA,7,Gold,12,298,camping|hiking|water-sports,app,9,4,4,5,,loyalty rewards
f4a5b6c7-f8a9-4b0c-1d2e-4d5e6f7a8b9c,2025-12-30,31,CO,4,Silver,7,187,camping|climbing|apparel,desktop,8,4,4,4,,trail finder
a5b6c7d8-a9b0-4c1d-2e3f-5e6f7a8b9c0d,2025-12-31,60,ID,9,Platinum,16,412,camping|hiking|climbing,in-store,10,5,5,5,,in-store experts
b6c7d8e9-b0c1-4d2e-3f4a-6f7a8b9c0d1e,2025-10-02,40,OR,5,Gold,9,234,hiking|water-sports|apparel,desktop,8,4,4,4,,price matching
c7d8e9f0-c1d2-4e3f-4a5b-7a8b9c0d1e2f,2025-10-04,24,CA,0,None,2,78,apparel|footwear,mobile,5,2,3,3,better eco certifications,sustainability info
d8e9f0a1-d2e3-4f4a-5b6c-8b9c0d1e2f3a,2025-10-06,51,CO,8,Platinum,13,345,camping|hiking|climbing,desktop,9,5,5,5,,gear comparison tool
e9f0a1b2-e3f4-4a5b-6c7d-9c0d1e2f3a4b,2025-10-09,35,WA,4,Silver,7,178,camping|hiking|apparel|footwear,app,8,4,4,4,,easy returns
f0a1b2c3-f4a5-4b6c-7d8e-0d1e2f3a4b5c,2025-10-13,27,UT,2,Bronze,5,137,climbing|apparel,mobile,6,3,3,4,app keeps logging me out,trail finder
01a2b3c4-d5e6-4f7a-8b9c-0d1e2f3a4b5c,2025-10-26,43,MT,6,Gold,10,267,camping|hiking|climbing,desktop,9,4,4,5,,loyalty rewards
12b3c4d5-e6f7-4a8b-9c0d-1e2f3a4b5c6d,2025-11-28,38,CO,5,Gold,9,223,camping|hiking|water-sports,app,8,4,5,4,,gear reviews
23c4d5e6-f7a8-4b9c-0d1e-2f3a4b5c6d7e,2025-11-30,22,CA,1,None,3,89,hiking|apparel|footwear,mobile,5,2,3,3,mobile payment failed twice,price alerts
34d5e6f7-a8b9-4c0d-1e2f-3a4b5c6d7e8f,2025-10-01,65,WA,10,Platinum,17,434,camping|hiking|climbing|water-sports,in-store,10,5,5,5,,in-store pickup
45e6f7a8-b9c0-4d1e-2f3a-4b5c6d7e8f9a,2025-10-03,30,OR,3,Silver,6,156,hiking|climbing|apparel,desktop,7,4,4,4,faster shipping to rural areas,gear comparison tool
56f7a8b9-c0d1-4e2f-3a4b-5c6d7e8f9a0b,2025-10-05,46,CO,7,Gold,11,287,camping|hiking|apparel|footwear,desktop,9,5,4,4,,price matching
67a8b9c0-d1e2-4f3a-4b5c-6d7e8f9a0b1c,2025-10-07,25,UT,1,Bronze,4,118,climbing|water-sports,mobile,6,2,3,4,mobile site is frustrating,easy returns
78b9c0d1-e2f3-4a4b-5c6d-7e8f9a0b1c2d,2025-10-09,54,CA,8,Platinum,14,367,camping|hiking|climbing,app,9,4,5,5,,expert advice chat
89c0d1e2-f3a4-4b5c-6d7e-8f9a0b1c2d3e,2025-10-11,36,WA,4,Silver,7,189,camping|hiking|water-sports,desktop,8,4,4,4,,loyalty rewards
90d1e2f3-a4b5-4c6d-7e8f-9a0b1c2d3e4f,2025-10-13,20,TX,0,None,2,72,apparel|footwear,mobile,4,2,3,3,want more plant-based materials,sustainability info
a1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f5a,2025-10-15,49,CO,6,Gold,10,256,camping|hiking|climbing|apparel,desktop,9,4,4,5,,gear reviews
b2f3a4b5-c6d7-4e8f-9a0b-1c2d3e4f5a6b,2025-10-17,32,OR,3,Silver,6,163,hiking|apparel|footwear,mobile,6,3,4,4,checkout button hard to tap,trail finder
c3a4b5c6-d7e8-4f9a-0b1c-2d3e4f5a6b7c,2025-10-19,58,MT,9,Platinum,15,398,camping|hiking|climbing,in-store,10,5,5,5,,in-store experts
d4b5c6d7-e8f9-4a0b-1c2d-3e4f5a6b7c8d,2025-10-21,41,WA,5,Gold,9,234,camping|hiking|water-sports,desktop,8,4,4,4,,price matching
e5c6d7e8-f9a0-4b1c-2d3e-4f5a6b7c8d9e,2025-10-23,28,CA,2,Bronze,5,142,hiking|climbing|apparel,app,7,4,3,4,search results not relevant,gear comparison tool
f6d7e8f9-a0b1-4c2d-3e4f-5a6b7c8d9e0f,2025-10-25,63,CO,10,Platinum,16,412,camping|hiking|climbing|water-sports,desktop,10,5,5,5,,expert advice chat
a7e8f9a0-b1c2-4d3e-4f5a-6b7c8d9e0f1a,2025-10-27,34,UT,4,Silver,7,178,climbing|apparel|footwear,desktop,8,4,4,4,,easy returns
b8f9a0b1-c2d3-4e4f-5a6b-7c8d9e0f1a2b,2025-10-29,23,OR,0,None,3,86,hiking|apparel,mobile,5,2,3,3,add apple pay please,price alerts
c9a0b1c2-d3e4-4f5a-6b7c-8d9e0f1a2b3c,2025-10-31,47,WA,7,Gold,11,289,camping|hiking|apparel,app,9,4,5,4,,loyalty rewards
d0b1c2d3-e4f5-4a6b-7c8d-9e0f1a2b3c4d,2025-11-02,39,CO,5,Gold,8,213,camping|climbing|water-sports,desktop,8,4,4,4,,gear reviews
e1c2d3e4-f5a6-4b7c-8d9e-0f1a2b3c4d5e,2025-11-04,26,CA,1,Bronze,4,123,hiking|apparel|footwear,mobile,6,3,3,4,app crashes during payment,trail finder
f2d3e4f5-a6b7-4c8d-9e0f-1a2b3c4d5e6f,2025-11-06,56,ID,8,Platinum,14,356,camping|hiking|climbing,in-store,9,5,4,5,,in-store pickup
a3e4f5a6-b7c8-4d9e-0f1a-2b3c4d5e6f7a,2025-11-08,31,UT,3,Silver,6,154,climbing|apparel,desktop,7,4,4,4,broader product sizing,gear comparison tool
b4f5a6b7-c8d9-4e0f-1a2b-3c4d5e6f7a8b,2025-11-10,44,WA,6,Gold,10,267,camping|hiking|water-sports|apparel,app,9,4,5,5,,price matching
c5a6b7c8-d9e0-4f1a-2b3c-4d5e6f7a8b9c,2025-11-12,21,TX,0,None,2,68,apparel|footwear,mobile,4,2,3,3,more secondhand options,sustainability info
